2026-07-22 22:17:48,731 | INFO     | cv_module.events | Событие evt_026793: smoke (0.85)
2026-07-22 22:17:48,737 | INFO     | cv_module.events | Событие evt_026794: smoke (0.52)
2026-07-22 22:17:48,741 | INFO     | cv_module.events | Событие evt_026795: water (0.49)
2026-07-22 22:17:48,816 | INFO     | cv_module.events | Событие evt_026796: water (0.48)
2026-07-22 22:17:48,899 | INFO     | cv_module.events | Событие evt_026797: person (0.91)
2026-07-22 22:17:48,905 | INFO     | cv_module.events | Событие evt_026798: vehicle (0.48)
2026-07-22 22:17:48,911 | INFO     | cv_module.events | Событие evt_026799: smoke (0.53)
2026-07-22 22:17:48,915 | INFO     | cv_module.events | Событие evt_026800: smoke (0.51)
2026-07-22 22:17:48,990 | INFO     | cv_module.events | Событие evt_026801: smoke (0.51)
2026-07-22 22:17:48,996 | INFO     | cv_module.events | Событие evt_026802: smoke (0.53)
2026-07-22 22:17:49,077 | INFO     | cv_module.events | Событие evt_026803: vehicle (0.71)
2026-07-22 22:17:49,158 | INFO     | cv_module.events | Событие evt_026804: water (0.48)
2026-07-22 22:17:49,236 | INFO     | cv_module.events | Событие evt_026805: smoke (0.50)
2026-07-22 22:17:49,241 | INFO     | cv_module.events | Событие evt_026806: smoke (0.50)
2026-07-22 22:17:49,246 | INFO     | cv_module.events | Событие evt_026807: smoke (0.88)
2026-07-22 22:17:49,273 | INFO     | cv_module.events | Событие evt_026808: smoke (0.50)
2026-07-22 22:17:49,279 | INFO     | cv_module.events | Событие evt_026809: water (0.48)
2026-07-22 22:17:49,360 | INFO     | cv_module.events | Событие evt_026810: smoke (0.51)
2026-07-22 22:17:49,436 | INFO     | cv_module.events | Событие evt_026811: water (0.48)
2026-07-22 22:17:49,515 | INFO     | cv_module.events | Событие evt_026812: person (0.91)
2026-07-22 22:17:49,520 | INFO     | cv_module.events | Событие evt_026813: smoke (0.52)
2026-07-22 22:17:49,594 | INFO     | cv_module.events | Событие evt_026814: person (0.91)
2026-07-22 22:17:49,599 | INFO     | cv_module.events | Событие evt_026815: smoke (0.51)
2026-07-22 22:17:49,603 | INFO     | cv_module.events | Событие evt_026816: water (0.49)
2026-07-22 22:17:49,685 | INFO     | cv_module.events | Событие evt_026817: smoke (0.50)
2026-07-22 22:17:49,691 | INFO     | cv_module.events | Событие evt_026818: smoke (0.51)
2026-07-22 22:17:49,771 | INFO     | cv_module.events | Событие evt_026819: vehicle (0.45)
2026-07-22 22:17:49,777 | INFO     | cv_module.events | Событие evt_026820: water (0.50)
2026-07-22 22:17:49,857 | INFO     | cv_module.events | Событие evt_026821: person (0.93)
2026-07-22 22:17:49,863 | INFO     | cv_module.events | Событие evt_026822: smoke (0.51)
2026-07-22 22:17:49,943 | INFO     | cv_module.events | Событие evt_026823: smoke (0.83)
2026-07-22 22:17:49,948 | INFO     | cv_module.events | Событие evt_026824: smoke (0.53)
2026-07-22 22:17:50,032 | INFO     | cv_module.events | Событие evt_026825: vehicle (0.44)
2026-07-22 22:17:50,038 | INFO     | cv_module.events | Событие evt_026826: smoke (0.51)
2026-07-22 22:17:50,044 | INFO     | cv_module.events | Событие evt_026827: smoke (0.50)
